"ship_mode","category","sub_category","sum"
NULL,NULL,NULL,"37873"
"Standard Class",NULL,NULL,"22797"
"Second Class",NULL,NULL,"7423"
"Same Day",NULL,NULL,"1960"
"First Class",NULL,NULL,"5693"
NULL,"Furniture",NULL,"8028"
NULL,"Office Supplies",NULL,"22906"
NULL,"Technology",NULL,"6939"
NULL,NULL,"Tables","1241"
NULL,NULL,"Art","3000"
NULL,NULL,"Storage","3158"
NULL,NULL,"Bookcases","868"
NULL,NULL,"Fasteners","914"
NULL,NULL,"Envelopes","906"
NULL,NULL,"Appliances","1729"
NULL,NULL,"Accessories","2976"
NULL,NULL,"Paper","5178"
NULL,NULL,"Phones","3289"
NULL,NULL,"Binders","5974"
NULL,NULL,"Copiers","234"
NULL,NULL,"Supplies","647"
NULL,NULL,"Labels","1400"
NULL,NULL,"Chairs","2356"
NULL,NULL,"Machines","440"
NULL,NULL,"Furnishings","3563"
