"ship_mode","category","sub_category","sum"
NULL,NULL,NULL,"37873"
"Standard Class","Furniture","Chairs","1372"
"Second Class","Office Supplies","Appliances","324"
"Standard Class","Office Supplies","Labels","830"
"Same Day","Office Supplies","Envelopes","58"
"First Class","Technology","Copiers","45"
"Standard Class","Furniture","Furnishings","2186"
"Standard Class","Office Supplies","Envelopes","548"
"Standard Class","Office Supplies","Supplies","387"
"Second Class","Furniture","Bookcases","175"
"Same Day","Furniture","Furnishings","189"
"Same Day","Office Supplies","Art","133"
"First Class","Office Supplies","Fasteners","106"
"Standard Class","Technology","Copiers","129"
"First Class","Office Supplies","Appliances","253"
"Same Day","Technology","Accessories","166"
"Standard Class","Office Supplies","Fasteners","587"
"Standard Class","Technology","Phones","1987"
"Standard Class","Office Supplies","Art","1868"
"Second Class","Technology","Machines","43"
"Same Day","Office Supplies","Fasteners","53"
"Same Day","Furniture","Chairs","160"
"Second Class","Office Supplies","Art","585"
"First Class","Office Supplies","Labels","250"
"First Class","Office Supplies","Art","414"
"Same Day","Office Supplies","Binders","258"
"First Class","Office Supplies","Binders","918"
"Standard Class","Furniture","Tables","723"
"Same Day","Office Supplies","Appliances","77"
"Standard Class","Office Supplies","Paper","2984"
"Second Class","Technology","Copiers","44"
"Same Day","Office Supplies","Storage","179"
"Second Class","Technology","Phones","658"
"First Class","Technology","Machines","76"
"Second Class","Furniture","Chairs","489"
"First Class","Office Supplies","Paper","785"
"First Class","Technology","Phones","501"
"Standard Class","Office Supplies","Binders","3777"
"First Class","Furniture","Tables","176"
"Second Class","Office Supplies","Supplies","152"
"First Class","Furniture","Bookcases","187"
"First Class","Office Supplies","Storage","458"
"Second Class","Office Supplies","Storage","670"
"Same Day","Technology","Machines","35"
"Second Class","Office Supplies","Fasteners","168"
"Standard Class","Office Supplies","Storage","1851"
"Second Class","Furniture","Furnishings","648"
"First Class","Furniture","Furnishings","540"
"Same Day","Technology","Phones","143"
"Second Class","Office Supplies","Envelopes","186"
"Same Day","Furniture","Tables","85"
"Second Class","Office Supplies","Labels","252"
"Same Day","Office Supplies","Paper","287"
"Same Day","Furniture","Bookcases","19"
"First Class","Furniture","Chairs","335"
"Standard Class","Office Supplies","Appliances","1075"
"First Class","Office Supplies","Supplies","74"
"Second Class","Technology","Accessories","629"
"Same Day","Technology","Copiers","16"
"Second Class","Office Supplies","Paper","1122"
"Second Class","Office Supplies","Binders","1021"
"Same Day","Office Supplies","Labels","68"
"Same Day","Office Supplies","Supplies","34"
"Standard Class","Technology","Machines","286"
"Standard Class","Technology","Accessories","1720"
"Second Class","Furniture","Tables","257"
"First Class","Technology","Accessories","461"
"Standard Class","Furniture","Bookcases","487"
"First Class","Office Supplies","Envelopes","114"
"Second Class","Technology",NULL,"1374"
"Standard Class","Furniture",NULL,"4768"
"Same Day","Furniture",NULL,"453"
"Second Class","Office Supplies",NULL,"4480"
"First Class","Office Supplies",NULL,"3372"
"Same Day","Technology",NULL,"360"
"First Class","Furniture",NULL,"1238"
"Standard Class","Office Supplies",NULL,"13907"
"Second Class","Furniture",NULL,"1569"
"Standard Class","Technology",NULL,"4122"
"First Class","Technology",NULL,"1083"
"Same Day","Office Supplies",NULL,"1147"
"Standard Class",NULL,NULL,"22797"
"Second Class",NULL,NULL,"7423"
"Same Day",NULL,NULL,"1960"
"First Class",NULL,NULL,"5693"
NULL,"Office Supplies","Appliances","1729"
NULL,"Technology","Phones","3289"
NULL,"Office Supplies","Art","3000"
NULL,"Office Supplies","Supplies","647"
NULL,"Technology","Copiers","234"
NULL,"Technology","Machines","440"
NULL,"Office Supplies","Storage","3158"
NULL,"Furniture","Tables","1241"
NULL,"Furniture","Bookcases","868"
NULL,"Furniture","Chairs","2356"
NULL,"Technology","Accessories","2976"
